Num_Agents,Average_Time_Taken,Average_Collisions
59,0.029390335083007812,0.0
26,0.014582475026448568,0.0
22,0.01550741990407308,0.0
29,0.018339792887369793,0.0
6,0.002172112464904785,0.0
54,0.03458412488301595,0.0
61,0.04553548494974772,0.0
30,0.016716400782267254,0.0
14,0.005785226821899414,0.0
66,0.04286038875579834,0.0
9,0.004119328090122768,0.0
60,0.050974130630493164,0.0
3,0.00824753443400065,0.0
27,0.014276862144470215,0.0
24,0.014330784479777018,0.0
33,0.012059688568115234,0.0
41,0.025867819786071777,0.0
25,0.019254207611083984,0.0
23,0.01695430278778076,0.0
46,0.04595843950907389,0.0
34,0.020730912685394287,0.0
67,0.0484349250793457,0.0
50,0.029903650283813477,0.0
58,0.045977234840393066,0.0
48,0.039492289225260414,0.0
44,0.04053616523742676,0.0
47,0.037018537521362305,0.0
69,0.03649413585662842,0.0
13,0.006914973258972168,0.0
53,0.02974875768025716,0.0
21,0.031611005465189614,0.0
28,0.017034451166788738,0.0
20,0.009270191192626953,0.0
18,0.010695695877075195,0.0
7,0.003400146961212158,0.0
16,0.00919044017791748,0.0
11,0.004761082785470145,0.0
8,0.0027675628662109375,0.0
63,0.04354757070541382,0.0
56,0.06285476684570312,0.0
65,0.04677999019622803,0.0
15,0.009636640548706055,0.0
42,0.02662340799967448,0.0
55,0.0431366761525472,0.0
64,0.0464019775390625,0.0
37,0.02572786808013916,0.0
51,0.0782461166381836,0.0
17,0.01909041404724121,0.0
40,0.12667608261108398,0.0
31,0.04770630598068237,0.0
49,0.029994773864746093,0.0
39,0.02854776382446289,0.0
4,0.0008039474487304688,0.0
57,0.031023144721984863,0.0
32,0.03580625851949056,0.0
36,0.03924846649169922,0.0
43,0.0343627134958903,0.0
62,0.03239971399307251,0.0
70,0.04778122901916504,0.0
12,0.007612148920694987,0.0
19,0.012531121571858725,0.0
10,0.0040961503982543945,0.0
35,0.02561473846435547,0.0
38,0.038839101791381836,0.0
2,0.0004425048828125,0.0
45,0.04003643989562988,0.0
